customer_id,booking_id,pickup_date,pickup_time,pickup_location_name,pickup_latitude,pickup_longitude,dropoff_suburb,dropoff_latitude,dropoff_longitude,number_of_people,kids_under_5,count_kids_under_5,accessible_vehicle_required,special_requirements,booking_channel,payment_method,cab_company_name,cab_company_id,pickup_time_parsed,pickup_datetime
CUST100001,BK04180001,2026-04-18,09:55 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,West End,-27.4816,153.0096,1,0,0,0,None,Event Kiosk,Card,NightMove Cabs,CAB205,1900-01-01 21:55:00,2026-04-18 21:55:00
CUST100002,BK04180002,2026-04-18,11:00 PM,Milton Rd Pickup Bay,-27.46672,153.01109,Hawthorne,-27.4623,153.0587,1,0,0,0,Wheelchair foldable,App,Digital Wallet,Metro Cabs Brisbane,CAB201,1900-01-01 23:00:00,2026-04-18 23:00:00
CUST100003,BK04180003,2026-04-18,10:15 PM,Upper Roma St Pickup Zone,-27.4662,153.01391,Teneriffe,-27.4528,153.0466,2,0,0,0,None,Phone,Cash,BlueLine Cabs,CAB203,1900-01-01 22:15:00,2026-04-18 22:15:00
CUST100004,BK04180004,2026-04-18,10:05 PM,Heussler Tce Pickup Bay,-27.46542,153.00412,Wynnum,-27.4415,153.1701,4,0,0,1,Extra luggage,Web,Cash,EventLink Rides,CAB204,1900-01-01 22:05:00,2026-04-18 22:05:00
CUST100005,BK04180005,2026-04-18,10:30 PM,Caxton St Pickup Point,-27.4636,153.01159,Forest Lake,-27.6253,152.9689,3,1,1,0,Pram/Stroller,App,Card,RiverCity Taxi Network,CAB202,1900-01-01 22:30:00,2026-04-18 22:30:00
CUST100006,BK04180006,2026-04-18,10:10 PM,Caxton St Pickup Point,-27.4636,153.01159,Eagle Farm,-27.4337,153.0871,4,0,0,0,Wheelchair foldable,Phone,Digital Wallet,CityLoop Taxi Service,CAB206,1900-01-01 22:10:00,2026-04-18 22:10:00
CUST100007,BK04180007,2026-04-18,10:10 PM,Petrie Tce Pickup Point,-27.4657,153.0125,Bulimba,-27.4516,153.0578,4,0,0,0,None,App,Card,NightMove Cabs,CAB205,1900-01-01 22:10:00,2026-04-18 22:10:00
CUST100008,BK04180008,2026-04-18,11:30 PM,Petrie Tce Pickup Point,-27.4657,153.0125,Coorparoo,-27.4935,153.0589,2,0,0,0,Quiet ride preferred,Web,Cash,RiverCity Taxi Network,CAB202,1900-01-01 23:30:00,2026-04-18 23:30:00
CUST100009,BK04180009,2026-04-18,09:25 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Ashgrove,-27.4454,152.9925,3,0,0,1,None,App,Digital Wallet,RiverCity Taxi Network,CAB202,1900-01-01 21:25:00,2026-04-18 21:25:00
CUST100010,BK04180010,2026-04-18,10:25 PM,Given Tce Pickup Point,-27.4649,153.00591,Carindale,-27.5032,153.1024,2,0,0,0,Quiet ride preferred,App,Cash,EventLink Rides,CAB204,1900-01-01 22:25:00,2026-04-18 22:25:00
CUST100011,BK04180011,2026-04-18,09:40 PM,Park Rd Pickup Zone,-27.47197,153.0051,Toowong,-27.4852,152.9923,2,0,0,0,Booster seat requested,App,Card,NightMove Cabs,CAB205,1900-01-01 21:40:00,2026-04-18 21:40:00
CUST100012,BK04180012,2026-04-18,09:55 PM,Park Rd Pickup Zone,-27.47197,153.0051,St Lucia,-27.4966,153.006,5,0,0,0,Booster seat requested,Web,Card,RiverCity Taxi Network,CAB202,1900-01-01 21:55:00,2026-04-18 21:55:00
CUST100013,BK04180013,2026-04-18,09:45 PM,Cribb St Pickup Bay,-27.46817,153.00639,Newstead,-27.4432,153.0417,4,0,0,0,Pram/Stroller,Web,Cash,EventLink Rides,CAB204,1900-01-01 21:45:00,2026-04-18 21:45:00
CUST100014,BK04180014,2026-04-18,09:00 PM,Upper Roma St Pickup Zone,-27.4662,153.01391,St Lucia,-27.4966,153.006,2,0,0,0,Extra luggage,App,Card,Metro Cabs Brisbane,CAB201,1900-01-01 21:00:00,2026-04-18 21:00:00
CUST100015,BK04180015,2026-04-18,10:05 PM,Cribb St Pickup Bay,-27.46817,153.00639,Mount Gravatt,-27.5346,153.0738,2,1,1,0,None,App,Card,NightMove Cabs,CAB205,1900-01-01 22:05:00,2026-04-18 22:05:00
CUST100016,BK04180016,2026-04-18,09:15 PM,Caxton St Pickup Point,-27.4636,153.01159,Clayfield,-27.4184,153.0589,2,1,1,0,None,Phone,Card,BlueLine Cabs,CAB203,1900-01-01 21:15:00,2026-04-18 21:15:00
CUST100017,BK04180017,2026-04-18,11:25 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Bulimba,-27.4516,153.0578,3,0,0,0,Wheelchair foldable,App,Digital Wallet,BlueLine Cabs,CAB203,1900-01-01 23:25:00,2026-04-18 23:25:00
CUST100018,BK04180018,2026-04-18,11:20 PM,Park Rd Pickup Zone,-27.47197,153.0051,West End,-27.4816,153.0096,1,0,0,0,Quiet ride preferred,Web,Digital Wallet,CityLoop Taxi Service,CAB206,1900-01-01 23:20:00,2026-04-18 23:20:00
CUST100019,BK04180019,2026-04-18,10:45 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Coorparoo,-27.4935,153.0589,2,0,0,0,Wheelchair foldable,Event Kiosk,Cash,BlueLine Cabs,CAB203,1900-01-01 22:45:00,2026-04-18 22:45:00
CUST100020,BK04180020,2026-04-18,11:25 PM,Park Rd Pickup Zone,-27.47197,153.0051,Morningside,-27.4671,153.0782,3,0,0,0,None,Web,Digital Wallet,EventLink Rides,CAB204,1900-01-01 23:25:00,2026-04-18 23:25:00
CUST100021,BK04180021,2026-04-18,10:55 PM,Milton Rd Pickup Bay,-27.46672,153.01109,Moorooka,-27.5342,153.0247,5,0,0,0,Extra luggage,Web,Card,EventLink Rides,CAB204,1900-01-01 22:55:00,2026-04-18 22:55:00
CUST100022,BK04180022,2026-04-18,10:50 PM,Upper Roma St Pickup Zone,-27.4662,153.01391,Chermside,-27.3847,153.0318,4,0,0,0,Booster seat requested,Event Kiosk,Cash,EventLink Rides,CAB204,1900-01-01 22:50:00,2026-04-18 22:50:00
CUST100023,BK04180023,2026-04-18,10:20 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Brisbane City,-27.4698,153.0251,2,0,0,0,None,Web,Cash,EventLink Rides,CAB204,1900-01-01 22:20:00,2026-04-18 22:20:00
CUST100024,BK04180024,2026-04-18,10:30 PM,Given Tce Pickup Point,-27.4649,153.00591,Fortitude Valley,-27.4574,153.0348,3,1,1,0,None,Phone,Digital Wallet,CityLoop Taxi Service,CAB206,1900-01-01 22:30:00,2026-04-18 22:30:00
CUST100025,BK04180025,2026-04-18,10:10 PM,Given Tce Pickup Point,-27.4649,153.00591,Herston,-27.4448,153.0184,2,0,0,0,Pram/Stroller,App,Card,BlueLine Cabs,CAB203,1900-01-01 22:10:00,2026-04-18 22:10:00
CUST100026,BK04180026,2026-04-18,10:15 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Milton,-27.4707,153.0019,4,0,0,0,None,App,Digital Wallet,NightMove Cabs,CAB205,1900-01-01 22:15:00,2026-04-18 22:15:00
CUST100027,BK04180027,2026-04-18,11:30 PM,Given Tce Pickup Point,-27.4649,153.00591,West End,-27.4816,153.0096,2,0,0,0,None,App,Digital Wallet,EventLink Rides,CAB204,1900-01-01 23:30:00,2026-04-18 23:30:00
CUST100028,BK04180028,2026-04-18,10:00 PM,Heussler Tce Pickup Bay,-27.46542,153.00412,Milton,-27.4707,153.0019,2,0,0,0,Wheelchair foldable,App,Digital Wallet,EventLink Rides,CAB204,1900-01-01 22:00:00,2026-04-18 22:00:00
CUST100029,BK04180029,2026-04-18,11:00 PM,Petrie Tce Pickup Point,-27.4657,153.0125,Taringa,-27.4912,152.9805,1,0,0,0,Pram/Stroller,Phone,Card,EventLink Rides,CAB204,1900-01-01 23:00:00,2026-04-18 23:00:00
CUST100030,BK04180030,2026-04-18,10:55 PM,Park Rd Pickup Zone,-27.47197,153.0051,Mount Gravatt,-27.5346,153.0738,2,0,0,0,Pram/Stroller,Phone,Cash,Metro Cabs Brisbane,CAB201,1900-01-01 22:55:00,2026-04-18 22:55:00
CUST100031,BK04180031,2026-04-18,09:50 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Carindale,-27.5032,153.1024,4,0,0,0,Booster seat requested,Web,Cash,CityLoop Taxi Service,CAB206,1900-01-01 21:50:00,2026-04-18 21:50:00
CUST100032,BK04180032,2026-04-18,09:10 PM,Caxton St Pickup Point,-27.4636,153.01159,Kedron,-27.4025,153.0286,2,0,0,0,Quiet ride preferred,Phone,Card,BlueLine Cabs,CAB203,1900-01-01 21:10:00,2026-04-18 21:10:00
CUST100033,BK04180033,2026-04-18,11:00 PM,Milton Rd Pickup Bay,-27.46672,153.01109,Taringa,-27.4912,152.9805,3,0,0,0,Booster seat requested,Event Kiosk,Card,CityLoop Taxi Service,CAB206,1900-01-01 23:00:00,2026-04-18 23:00:00
CUST100034,BK04180034,2026-04-18,10:00 PM,Park Rd Pickup Zone,-27.47197,153.0051,Forest Lake,-27.6253,152.9689,3,0,0,0,Wheelchair foldable,Web,Digital Wallet,BlueLine Cabs,CAB203,1900-01-01 22:00:00,2026-04-18 22:00:00
CUST100035,BK04180035,2026-04-18,09:15 PM,Milton Rd Pickup Bay,-27.46672,153.01109,Auchenflower,-27.4747,152.9926,2,0,0,0,None,App,Cash,BlueLine Cabs,CAB203,1900-01-01 21:15:00,2026-04-18 21:15:00
CUST100036,BK04180036,2026-04-18,10:35 PM,Petrie Tce Pickup Point,-27.4657,153.0125,Fortitude Valley,-27.4574,153.0348,2,1,1,0,Booster seat requested,App,Card,Metro Cabs Brisbane,CAB201,1900-01-01 22:35:00,2026-04-18 22:35:00
CUST100037,BK04180037,2026-04-18,10:35 PM,Upper Roma St Pickup Zone,-27.4662,153.01391,Wynnum,-27.4415,153.1701,2,0,0,0,Quiet ride preferred,App,Cash,BlueLine Cabs,CAB203,1900-01-01 22:35:00,2026-04-18 22:35:00
CUST100038,BK04180038,2026-04-18,10:05 PM,Petrie Tce Pickup Point,-27.4657,153.0125,South Brisbane,-27.4806,153.0207,2,0,0,0,None,Phone,Cash,RiverCity Taxi Network,CAB202,1900-01-01 22:05:00,2026-04-18 22:05:00
CUST100039,BK04180039,2026-04-18,11:05 PM,Caxton St Pickup Point,-27.4636,153.01159,Red Hill,-27.4527,153.0041,1,0,0,0,Wheelchair foldable,Phone,Digital Wallet,NightMove Cabs,CAB205,1900-01-01 23:05:00,2026-04-18 23:05:00
CUST100040,BK04180040,2026-04-18,11:15 PM,Castlemaine St Pickup Zone,-27.46392,153.00872,Chermside,-27.3847,153.0318,3,0,0,1,Pram/Stroller,App,Cash,CityLoop Taxi Service,CAB206,1900-01-01 23:15:00,2026-04-18 23:15:00
CUST100041,BK04180041,2026-04-18,10:20 PM,Milton Rd Pickup Bay,-27.46672,153.01109,Albion,-27.4315,153.0422,2,0,0,0,None,Event Kiosk,Digital Wallet,BlueLine Cabs,CAB203,1900-01-01 22:20:00,2026-04-18 22:20:00
