booking_id,customer_id,cab_company_name,cab_company_id,driver_id,allocated_vehicle_make_model,vehicle_type,vehicle_seat_capacity,vehicle_colour,cab_current_location_name,cab_current_latitude,cab_current_longitude,distance_from_stadium_km,distance_to_pickup_km,allocation_status,estimated_arrival_to_pickup_min,relative_position_to_pickup,pickup_date,pickup_location_name,pickup_time,pickup_latitude,pickup_longitude,pickup_time_parsed,pickup_datetime
BK04180001,CUST100001,NightMove Cabs,CAB205,DRV240001,Hyundai Staria,Maxi Taxi,7,Blue,Kelvin Grove staging area,-27.452561,153.009327,1.57,1.26,Allocated,3,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,09:55 PM,-27.46392,153.00872,21:55:00,2026-04-18 21:55:00
BK04180002,CUST100002,Metro Cabs Brisbane,CAB201,DRV240002,Hyundai i30 Sedan,Sedan,4,Grey,Bardon Edge staging area,-27.472166,152.97449,3.39,3.66,Allocated,10,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,11:00 PM,-27.46672,153.01109,23:00:00,2026-04-18 23:00:00
BK04180003,CUST100003,BlueLine Cabs,CAB203,DRV240003,Kia Sorento,SUV,6,White,Herston staging area,-27.448967,153.037164,3.46,2.99,Allocated,10,Same side / adjacent side,2026-04-18,Upper Roma St Pickup Zone,10:15 PM,-27.4662,153.01391,22:15:00,2026-04-18 22:15:00
BK04180004,CUST100004,EventLink Rides,CAB204,DRV240004,Toyota HiAce Commuter,Wheelchair / Maxi Taxi,10,Silver,Bardon Edge staging area,-27.460746,152.965799,4.24,3.82,Allocated,12,Same side / adjacent side,2026-04-18,Heussler Tce Pickup Bay,10:05 PM,-27.46542,153.00412,22:05:00,2026-04-18 22:05:00
BK04180005,CUST100005,RiverCity Taxi Network,CAB202,DRV240005,Skoda Superb,Sedan,4,Grey,Herston staging area,-27.444938,153.024627,2.9,2.44,Allocated,7,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,10:30 PM,-27.4636,153.01159,22:30:00,2026-04-18 22:30:00
BK04180006,CUST100006,CityLoop Taxi Service,CAB206,DRV240006,Toyota Kluger,SUV,6,Blue,Petrie Terrace staging area,-27.461235,153.014322,0.85,0.38,Allocated,3,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,10:10 PM,-27.4636,153.01159,22:10:00,2026-04-18 22:10:00
BK04180007,CUST100007,NightMove Cabs,CAB205,DRV240007,Toyota RAV4 Hybrid,SUV,4,Silver,Roma Street staging area,-27.469656,153.015176,0.76,0.51,Allocated,3,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,10:10 PM,-27.4657,153.0125,22:10:00,2026-04-18 22:10:00
BK04180008,CUST100008,RiverCity Taxi Network,CAB202,DRV240008,Kia Carnival,Maxi Taxi,7,Black,Roma Street staging area,-27.464881,153.017259,0.91,0.48,Allocated,3,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,11:30 PM,-27.4657,153.0125,23:30:00,2026-04-18 23:30:00
BK04180009,CUST100009,RiverCity Taxi Network,CAB202,DRV240009,Kia Carnival,Maxi Taxi,7,Blue,Newmarket Edge staging area,-27.445879,153.002115,2.39,2.11,Allocated,7,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,09:25 PM,-27.46392,153.00872,21:25:00,2026-04-18 21:25:00
BK04180010,CUST100010,EventLink Rides,CAB204,DRV240010,Toyota Camry Hybrid,Sedan,4,Grey,South Brisbane staging area,-27.490252,153.043078,4.32,4.63,Allocated,17,Opposite side of stadium precinct,2026-04-18,Given Tce Pickup Point,10:25 PM,-27.4649,153.00591,22:25:00,2026-04-18 22:25:00
