element_id,element_type,latitude,longitude,highway,crossing,traffic_signals
26334563,node,-27.4606467,153.0183377,crossing,uncontrolled,
26334568,node,-27.45942,153.0194992,traffic_signals,,pedestrian_crossing
59827275,node,-27.4587157,153.0143093,traffic_signals,,
60982410,node,-27.4565029,153.0128777,crossing,unmarked,
60982416,node,-27.456084,153.0126615,traffic_signals,,signal
61679351,node,-27.4671031,153.010094,crossing,unmarked,
75288230,node,-27.4645292,153.0192217,crossing,marked,
81456535,node,-27.4747022,153.0132757,crossing,unmarked,
82800386,node,-27.4556053,153.0132865,crossing,uncontrolled,
82800387,node,-27.4555174,153.0134876,crossing,uncontrolled,
124609089,node,-27.4666217,153.0011658,crossing,traffic_signals,
176406718,node,-27.4645277,153.0207458,crossing,unmarked,
176406719,node,-27.4643938,153.0207478,crossing,traffic_signals,
248392938,node,-27.4597078,153.0148845,traffic_signals,,
256002249,node,-27.4654242,153.0168489,traffic_signals,,signal
256004980,node,-27.4657242,153.0164619,traffic_signals,,signal
256010183,node,-27.4676612,153.0103017,crossing,unmarked,
256010668,node,-27.4677796,153.0103859,crossing,unmarked,
262473168,node,-27.4733486,153.0053524,crossing,uncontrolled,
266597529,node,-27.4656897,153.0162964,traffic_signals,,signal
266598068,node,-27.4645877,153.0192037,crossing,marked,
293657277,node,-27.4681131,152.999191,crossing,zebra,
293657310,node,-27.466663,152.9982707,crossing,uncontrolled,
293657311,node,-27.4661531,152.9980867,crossing,uncontrolled,
307579394,node,-27.4690134,153.0035372,traffic_signals,,
315268468,node,-27.4679016,153.0075192,traffic_signals,,
320411192,node,-27.4714085,153.0119392,crossing,unmarked,
370766173,node,-27.4669534,153.0209091,crossing,traffic_signals,
388112059,node,-27.4732353,153.0050395,crossing,traffic_signals,
444641566,node,-27.4712349,153.0137683,traffic_signals,,signal
444783783,node,-27.4687823,153.0112894,traffic_signals,,
558877642,node,-27.4628295,153.0156613,crossing,,
562871876,node,-27.4723576,153.0169684,traffic_signals,,
562871921,node,-27.4711739,153.0149253,crossing,uncontrolled,
563398096,node,-27.47425,153.0134189,crossing,,
563398105,node,-27.4745231,153.0134318,crossing,,
563398113,node,-27.4738804,153.0142141,traffic_signals,,
563398124,node,-27.4730171,153.0136269,crossing,unmarked,
563398128,node,-27.4724717,153.0132625,traffic_signals,,
563398130,node,-27.4724944,153.0130222,traffic_signals,,
563398131,node,-27.4722989,153.0133008,traffic_signals,,
563398168,node,-27.4715926,153.0136621,traffic_signals,,signal
563398181,node,-27.4714614,153.0138125,crossing,traffic_signals,
563398185,node,-27.4733678,153.015151,traffic_signals,,
563398188,node,-27.4732652,153.0154742,traffic_signals,,
563398189,node,-27.4732089,153.0152525,traffic_signals,,
612814325,node,-27.4691397,153.0033867,crossing,traffic_signals,
612814838,node,-27.4692375,153.0038746,traffic_signals,,
612880346,node,-27.4732126,153.0033215,crossing,uncontrolled,
612880446,node,-27.4730647,153.0036036,crossing,uncontrolled,
612882237,node,-27.4728467,153.0054383,crossing,traffic_signals,
673921549,node,-27.468399,153.0111268,traffic_signals,,
