element_id,element_type,latitude,longitude,highway,name,maxspeed,lanes,oneway
4049694,way,-27.4674353,153.0169882,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4674691,153.0171603,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4674746,153.017241,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4674837,153.0173217,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4674988,153.0174053,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4675101,153.0174538,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4675262,153.0175049,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4675382,153.0175325,trunk,Coronation Drive,60,2,yes
4049694,way,-27.4675654,153.0175912,trunk,Coronation Drive,60,2,yes
4075774,way,-27.4576064,153.0140447,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.4576167,153.0141061,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.4576331,153.0141774,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.4576716,153.0143189,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.45769,153.0143923,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.4577023,153.0144674,motorway,Inner City Bypass,60,2,yes
4075774,way,-27.4577159,153.0145944,motorway,Inner City Bypass,60,2,yes
4327913,way,-27.4606058,153.0178411,primary_link,,60,1,yes
4327913,way,-27.4606301,153.0181003,primary_link,,60,1,yes
4327913,way,-27.4606467,153.0183377,primary_link,,60,1,yes
4327913,way,-27.4606403,153.0184005,primary_link,,60,1,yes
4327913,way,-27.4606193,153.0184626,primary_link,,60,1,yes
4327939,way,-27.4529097,153.0161465,residential,Victoria Park Road,40,2,no
4327939,way,-27.4529877,153.0161587,residential,Victoria Park Road,40,2,no
4327939,way,-27.4530152,153.0161607,residential,Victoria Park Road,40,2,no
4327939,way,-27.4539211,153.0159964,residential,Victoria Park Road,40,2,no
4327939,way,-27.4539995,153.0159822,residential,Victoria Park Road,40,2,no
4327939,way,-27.4540465,153.0159855,residential,Victoria Park Road,40,2,no
4327939,way,-27.4541812,153.015997,residential,Victoria Park Road,40,2,no
4327939,way,-27.4542004,153.0159905,residential,Victoria Park Road,40,2,no
4327939,way,-27.4542209,153.0159836,residential,Victoria Park Road,40,2,no
4327939,way,-27.4542656,153.0159871,residential,Victoria Park Road,40,2,no
4328056,way,-27.458246,153.0232581,residential,Fortescue Street,50,,no
4328056,way,-27.4583352,153.0232952,residential,Fortescue Street,50,,no
4328056,way,-27.458361,153.0233059,residential,Fortescue Street,50,,no
4328056,way,-27.4586341,153.0234088,residential,Fortescue Street,50,,no
4328056,way,-27.4588791,153.0234992,residential,Fortescue Street,50,,no
4328056,way,-27.4594917,153.0237363,residential,Fortescue Street,50,,no
4328056,way,-27.4595211,153.0237479,residential,Fortescue Street,50,,no
4328056,way,-27.4595415,153.0237527,residential,Fortescue Street,50,,no
4328056,way,-27.4595662,153.0237545,residential,Fortescue Street,50,,no
4328056,way,-27.4595883,153.0237523,residential,Fortescue Street,50,,no
4328056,way,-27.459749,153.0237235,residential,Fortescue Street,50,,no
4328056,way,-27.4598368,153.0237056,residential,Fortescue Street,50,,no
